name_old,name_modern,year_old,year_modern,match_probability
Cherokee Parks,Cherokee Parks,1996,1997,0.9996398708036508
Fred Roberts,Fred Roberts,1996,1997,0.9996398708036508
Kevin Willis,Kevin Willis,1996,1997,0.9996398708036508
Chris Mullin,Chris Mullin,1996,1997,0.9996398708036508
Detlef Schrempf,Detlef Schrempf,1996,1997,0.9996398708036508
Rafael Addison,Rafael Addison,1996,1997,0.9996398708036508
Nate McMillan,Nate McMillan,1996,1997,0.9996398708036508
Dennis Rodman,Dennis Rodman,1996,1997,0.9996398708036508
David Wingate,David Wingate,1996,1997,0.9996398708036508
Kevin Gamble,Kevin Gamble,1996,1997,0.9996398708036508
Mark Bryant,Mark Bryant,1996,1997,0.9996398708036508
Gary Grant,Gary Grant,1996,1997,0.9996398708036508
Antonio McDyess,Antonio McDyess,1996,1997,0.9996398708036508
Terry Mills,Terry Mills,1996,1997,0.9996398708036508
Henry James,Henry James,1996,1997,0.9996398708036508
Greg Foster,Greg Foster,1996,1997,0.9996398708036508
Clifford Robinson,Clifford Robinson,1996,1997,0.9996398708036508
Jack Haley,Jack Haley,1996,1997,0.9996398708036508
Horace Grant,Horace Grant,1996,1997,0.9996398708036508
Arvydas Sabonis,Arvydas Sabonis,1996,1997,0.9996398708036508
Anthony Goldwire,Anthony Goldwire,1996,1997,0.9996398708036508
Randolph Childress,Randolph Childress,1996,1997,0.9996398708036508
Cory Alexander,Cory Alexander,1996,1997,0.9996398708036508
Glenn Robinson,Glenn Robinson,1996,1997,0.9996398708036508
Wesley Person,Wesley Person,1996,1997,0.9996398708036508
Brooks Thompson,Brooks Thompson,1996,1997,0.9996398708036508
Dickey Simpkins,Dickey Simpkins,1996,1997,0.9996398708036508
Greg Minor,Greg Minor,1996,1997,0.9996398708036508
Jim McIlvaine,Jim McIlvaine,1996,1997,0.9996398708036508
David Wesley,David Wesley,1996,1997,0.9996398708036508
James Robinson,James Robinson,1996,1997,0.9996398708036508
Stanley Roberts,Stanley Roberts,1996,1997,0.9996398708036508
Bobby Phills,Bobby Phills,1996,1997,0.9996398708036508
